invoice_id,client_id,issue_date,amount,qbo_invoice_id,quarantine_lane,reason_code,nearby_completed_job_count_3d,nearby_job_ids,reason_detail,source,snapshot_date,reviewed_by
SS-INV-6458,SS-CLIENT-0071,2026-04-14,135.0,11023,manual_review,MANUAL_REVIEW_NEARBY_JOB,1,SS-JOB-5513,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=1; nearby_job_ids=SS-JOB-5513,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4629,SS-CLIENT-0267,2026-04-09,150.0,9170,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4631,SS-CLIENT-0272,2026-04-09,150.0,9172,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4635,SS-CLIENT-0089,2026-04-09,150.0,9176,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4636,SS-CLIENT-0044,2026-04-09,150.0,9177,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4638,SS-CLIENT-0138,2026-04-09,150.0,9179,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4640,SS-CLIENT-0148,2026-04-09,150.0,9181,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4641,SS-CLIENT-0149,2026-04-09,150.0,9182,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4646,SS-CLIENT-0154,2026-04-09,150.0,9187,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4655,SS-CLIENT-0121,2026-04-09,150.0,9196,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4657,SS-CLIENT-0049,2026-04-09,150.0,9198,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4661,SS-CLIENT-0114,2026-04-09,150.0,9202,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4662,SS-CLIENT-0137,2026-04-09,150.0,9203,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4664,SS-CLIENT-0129,2026-04-09,150.0,9205,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4665,SS-CLIENT-0152,2026-04-09,150.0,9206,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4666,SS-CLIENT-0134,2026-04-09,150.0,9207,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4670,SS-CLIENT-0264,2026-04-09,150.0,9211,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4671,SS-CLIENT-0248,2026-04-09,150.0,9212,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4674,SS-CLIENT-0119,2026-04-09,150.0,9215,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4684,SS-CLIENT-0074,2026-04-09,150.0,9225,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4688,SS-CLIENT-0014,2026-04-09,150.0,9229,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4698,SS-CLIENT-0139,2026-04-09,150.0,9239,manual_review,MANUAL_REVIEW_NEARBY_JOB,1,SS-JOB-5459,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=1; nearby_job_ids=SS-JOB-5459,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4704,SS-CLIENT-0005,2026-04-09,150.0,9245,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4715,SS-CLIENT-0138,2026-04-09,150.0,9256,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4716,SS-CLIENT-0136,2026-04-09,150.0,9257,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4719,SS-CLIENT-0006,2026-04-09,150.0,9260,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4727,SS-CLIENT-0134,2026-04-09,150.0,9268,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4728,SS-CLIENT-0121,2026-04-09,150.0,9269,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4734,SS-CLIENT-0070,2026-04-09,150.0,9275,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4737,SS-CLIENT-0094,2026-04-09,150.0,9278,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
SS-INV-4738,SS-CLIENT-0049,2026-04-09,150.0,9279,auto_quarantine,NO_NEARBY_COMPLETED_JOB_3D,0,,Residual orphan with no same-day completed job; nearby_completed_job_count_3d=0,track_b_residual_orphan_quarantine_2026_04_19,2026-04-19,operations-human-review-complete
